ICD10 plots,from ICD9,dx,n,desc
,,E781,5516,E781 - Pure hyperglyceridemia
,,M25569,5490,M25569 - Pain in unspecified knee
,,N1330,5468,N1330 - Unspecified hydronephrosis
,,H2511,5467,"H2511 - Age-related nuclear cataract, right eye"
,,R310,5463,R310 - Gross hematuria
,,G3184,5437,"G3184 - Mild cognitive impairment, so stated"
,,Z880,5427,Z880 - Allergy status to penicillin
,,G809,5426,"G809 - Cerebral palsy, unspecified"
,,D472,5411,D472 - Monoclonal gammopathy
,,Z7902,5384,Z7902 - Long term (current) use of antithromboti
,,N529,5374,"N529 - Male erectile dysfunction, unspecified"
,,F72,5362,F72 - Severe intellectual disabilities
,,F4321,5329,F4321 - Adjustment disorder with depressed mood
,,L820,5326,L820 - Inflamed seborrheic keratosis
,,D469,5281,"D469 - Myelodysplastic syndrome, unspecified"
,,C50912,5267,C50912 - Malignant neoplasm of unspecified site o
,,L97519,5263,L97519 - Non-pressure chronic ulcer of other part
,,R41841,5258,R41841 - Cognitive communication deficit
,,D61818,5249,D61818 - Other pancytopenia
,,Z7409,5243,Z7409 - Other reduced mobility
,,L089,5225,L089 - Local infection of the skin and subcutan
,,H2512,5224,"H2512 - Age-related nuclear cataract, left eye"
,,R351,5220,R351 - Nocturia
,,F251,5171,"F251 - Schizoaffective disorder, depressive typ"
,,E1143,5167,E1143 - Type 2 diabetes mellitus with diabetic a
,,E041,5159,E041 - Nontoxic single thyroid nodule
,,I69951,5142,I69951 - Hemiplegia and hemiparesis following uns
,,H3531,5130,H3531 - Nonexudative age-related macular degener
,,M5431,5113,"M5431 - Sciatica, right side"
,,L97529,5111,L97529 - Non-pressure chronic ulcer of other part
,,B9689,5090,B9689 - Other specified bacterial agents as the 
,,C3491,5087,C3491 - Malignant neoplasm of unspecified part o
,,E6609,5081,E6609 - Other obesity due to excess calories
,,H3532,5075,H3532 - Exudative age-related macular degenerati
,,Z1389,5063,Z1389 - Encounter for screening for other disord
,,Z5112,5049,Z5112 - Encounter for antineoplastic immunothera
,,M4316,5040,"M4316 - Spondylolisthesis, lumbar region"
Y,Y,R1030,5034,"R1030 - Lower abdominal pain, unspecified"
,,I96,5030,"I96 - Gangrene, not elsewhere classified"
,,G5601,5023,"G5601 - Carpal tunnel syndrome, right upper limb"
,,M5134,5010,"M5134 - Other intervertebral disc degeneration, "
Y,Y,I447,5008,"I447 - Left bundle-branch block, unspecified"
,,J849,5006,"J849 - Interstitial pulmonary disease, unspecif"
,,H40013,4998,"H40013 - Open angle with borderline findings, low"
Y,Y,J181,4979,"J181 - Lobar pneumonia, unspecified organism"
,,N3941,4956,N3941 - Urge incontinence
,,Z170,4955,Z170 - Estrogen receptor positive status [ER+]
Y,Y,R011,4935,"R011 - Cardiac murmur, unspecified"
,,I6529,4923,I6529 - Occlusion and stenosis of unspecified ca
,,Z48812,4900,Z48812 - Encounter for surgical aftercare followi
,,M4726,4895,"M4726 - Other spondylosis with radiculopathy, lu"
,,L97521,4851,L97521 - Non-pressure chronic ulcer of other part
,,I6930,4823,I6930 - Unspecified sequelae of cerebral infarct
,,C259,4822,"C259 - Malignant neoplasm of pancreas, unspecif"
,Y,M25519,4816,M25519 - Pain in unspecified shoulder
,,H25813,4788,"H25813 - Combined forms of age-related cataract, "
,,J0100,4781,"J0100 - Acute maxillary sinusitis, unspecified"
,,G893,4780,G893 - Neoplasm related pain (acute) (chronic)
,,J302,4780,J302 - Other seasonal allergic rhinitis
,,R9720,4767,R9720 - Elevated prostate specific antigen [PSA]
Y,Y,I4510,4762,I4510 - Unspecified right bundle-branch block
,,M1389,4761,"M1389 - Other specified arthritis, multiple site"
,,R9439,4735,R9439 - Abnormal result of other cardiovascular 
,,L97511,4734,L97511 - Non-pressure chronic ulcer of other part
,,M0579,4726,M0579 - Rheumatoid arthritis with rheumatoid fac
,,K861,4706,K861 - Other chronic pancreatitis
,,Z981,4701,Z981 - Arthrodesis status
,,E042,4699,E042 - Nontoxic multinodular goiter
,,I69954,4648,I69954 - Hemiplegia and hemiparesis following uns
,,H43813,4636,"H43813 - Vitreous degeneration, bilateral"
,,Z9049,4625,Z9049 - Acquired absence of other specified part
,,H269,4619,H269 - Unspecified cataract
,,H3530,4578,H3530 - Unspecified macular degeneration
,,L03119,4577,L03119 - Cellulitis of unspecified part of limb
,,M48062,4576,"M48062 - Spinal stenosis, lumbar region with neur"
,,Z96641,4567,Z96641 - Presence of right artificial hip joint
,,E870,4553,E870 - Hyperosmolality and hypernatremia
,,R260,4533,R260 - Ataxic gait
,,E8351,4527,E8351 - Hypocalcemia
Y,Y,R0781,4459,R0781 - Pleurodynia
,,F068,4451,F068 - Other specified mental disorders due to 
,,I160,4448,I160 - Hypertensive urgency
,,R1311,4440,"R1311 - Dysphagia, oral phase"
,,E108,4437,E108 - Type 1 diabetes mellitus with unspecifie
,,C50911,4432,C50911 - Malignant neoplasm of unspecified site o
,,J432,4431,J432 - Centrilobular emphysema
,,M79641,4427,M79641 - Pain in right hand
,,R7301,4423,R7301 - Impaired fasting glucose
,,Z933,4415,Z933 - Colostomy status
,,F4312,4412,"F4312 - Post-traumatic stress disorder, chronic"
,,L814,4411,L814 - Other melanin hyperpigmentation
,,M25559,4404,M25559 - Pain in unspecified hip
,,C801,4394,"C801 - Malignant (primary) neoplasm, unspecifie"
,,K648,4377,K648 - Other hemorrhoids
,,E0590,4342,"E0590 - Thyrotoxicosis, unspecified without thyr"
,,N3281,4329,N3281 - Overactive bladder
,,K769,4326,"K769 - Liver disease, unspecified"
,,M533,4320,"M533 - Sacrococcygeal disorders, not elsewhere "
,,L989,4311,L989 - Disorder of the skin and subcutaneous ti
Y,,E440,4288,E440 - Moderate protein-calorie malnutrition
,,F320,4278,"F320 - Major depressive disorder, single episod"
Y,,R627,4274,R627 - Adult failure to thrive
,,Z930,4246,Z930 - Tracheostomy status
,,I69998,4242,I69998 - Other sequelae following unspecified cer
,,L603,4241,L603 - Nail dystrophy
,,C3431,4239,"C3431 - Malignant neoplasm of lower lobe, right "
,,I501,4231,"I501 - Left ventricular failure, unspecified"
,,C9200,4228,"C9200 - Acute myeloblastic leukemia, not having "
,,C9110,4222,C9110 - Chronic lymphocytic leukemia of B-cell t
,,T82898A,4217,T82898A - Other specified complication of vascular
,,H5213,4202,"H5213 - Myopia, bilateral"
Y,Y,I498,4192,I498 - Other specified cardiac arrhythmias
,,N2889,4189,N2889 - Other specified disorders of kidney and 
,,R488,4180,R488 - Other symbolic dysfunctions
,,I5040,4176,I5040 - Unspecified combined systolic (congestiv
,,Z9861,4170,Z9861 - Coronary angioplasty status
,,E213,4162,"E213 - Hyperparathyroidism, unspecified"
,,I313,4162,I313 - Pericardial effusion (noninflammatory)
Y,Y,J9622,4155,J9622 - Acute and chronic respiratory failure wi
,,N1830,4144,N1830 - NA
,,Z4931,4144,Z4931 - Encounter for adequacy testing for hemod
,,Z8249,4143,Z8249 - Family history of ischemic heart disease
,,J3081,4130,J3081 - Allergic rhinitis due to animal (cat) (d
,,R338,4121,R338 - Other retention of urine
,,Z4800,4099,Z4800 - Encounter for change or removal of nonsu
Y,Y,I440,4095,"I440 - Atrioventricular block, first degree"
,,R5382,4069,"R5382 - Chronic fatigue, unspecified"
,,A047,4034,A047 - Enterocolitis due to Clostridium diffici
,,B9562,4034,B9562 - Methicillin resistant Staphylococcus aur
,Y,K2950,4031,K2950 - Unspecified chronic gastritis without bl
,,F1210,4007,"F1210 - Cannabis abuse, uncomplicated"
,,I69398,3996,I69398 - Other sequelae of cerebral infarction
,,Z89511,3996,Z89511 - Acquired absence of right leg below knee
,,M2041,3991,"M2041 - Other hammer toe(s) (acquired), right fo"
,,M7541,3986,M7541 - Impingement syndrome of right shoulder
,,L853,3982,L853 - Xerosis cutis
,,R54,3971,R54 - Age-related physical debility
,,E8809,3966,E8809 - Other disorders of plasma-protein metabo
,,I4820,3962,I4820 - NA
Y,Y,I208,3955,I208 - Other forms of angina pectoris
,,F3132,3952,"F3132 - Bipolar disorder, current episode depres"
Y,Y,J810,3936,J810 - Acute pulmonary edema
,,Z86711,3931,Z86711 - Personal history of pulmonary embolism
,,N170,3930,N170 - Acute kidney failure with tubular necros
,,N3946,3923,N3946 - Mixed incontinence
,,B353,3917,B353 - Tinea pedis
,,R945,3907,R945 - Abnormal results of liver function studi
,,K589,3879,K589 - Irritable bowel syndrome without diarrhe
,,G5602,3877,"G5602 - Carpal tunnel syndrome, left upper limb"
,,T82858A,3876,T82858A - Stenosis of other vascular prosthetic de
,,Z08,3870,Z08 - Encounter for follow-up examination afte
Y,Y,J9602,3863,J9602 - Acute respiratory failure with hypercapn
,,E079,3853,"E079 - Disorder of thyroid, unspecified"
,,R45851,3850,R45851 - Suicidal ideations
,,Z741,3847,Z741 - Need for assistance with personal care
,,E1022,3830,E1022 - Type 1 diabetes mellitus with diabetic c
,,R270,3815,"R270 - Ataxia, unspecified"
,,Z9119,3815,Z9119 - Patient's noncompliance with other medic
,,K3189,3800,K3189 - Other diseases of stomach and duodenum
,,R040,3798,R040 - Epistaxis
,,M519,3796,"M519 - Unspecified thoracic, thoracolumbar and "
,,C7800,3790,C7800 - Secondary malignant neoplasm of unspecif
,,Z888,3787,"Z888 - Allergy status to other drugs, medicamen"
,,C3492,3783,C3492 - Malignant neoplasm of unspecified part o
,,Z8546,3778,Z8546 - Personal history of malignant neoplasm o
,,Z4889,3775,Z4889 - Encounter for other specified surgical a
,,N393,3750,N393 - Stress incontinence (female) (male)
Y,,R601,3734,R601 - Generalized edema
,,M47896,3729,"M47896 - Other spondylosis, lumbar region"
,,M5432,3721,"M5432 - Sciatica, left side"
,,C50412,3720,C50412 - Malignant neoplasm of upper-outer quadra
,,F603,3714,F603 - Borderline personality disorder
Y,Y,I442,3710,"I442 - Atrioventricular block, complete"
,,M160,3710,M160 - Bilateral primary osteoarthritis of hip
,,M25611,3709,"M25611 - Stiffness of right shoulder, not elsewhe"
,,M25531,3705,M25531 - Pain in right wrist
,,D701,3701,D701 - Agranulocytosis secondary to cancer chem
,,K5909,3699,K5909 - Other constipation
,,B9620,3689,B9620 - Unspecified Escherichia coli [E. coli] a
,,J42,3683,J42 - Unspecified chronic bronchitis
,,M5440,3669,"M5440 - Lumbago with sciatica, unspecified side"
,,M8580,3638,M8580 - Other specified disorders of bone densit
,,M79662,3630,M79662 - Pain in left lower leg
,,E7849,3627,E7849 - Other hyperlipidemia
,,R4701,3620,R4701 - Aphasia
,,Z8679,3612,Z8679 - Personal history of other diseases of th
,,Z89512,3598,Z89512 - Acquired absence of left leg below knee
,,Z713,3592,Z713 - Dietary counseling and surveillance
,,F1410,3591,"F1410 - Cocaine abuse, uncomplicated"
Y,,M79602,3574,M79602 - Pain in left arm
,Y,I359,3563,"I359 - Nonrheumatic aortic valve disorder, unsp"
,,M79661,3560,M79661 - Pain in right lower leg
,,N201,3560,N201 - Calculus of ureter
,,D539,3548,"D539 - Nutritional anemia, unspecified"
Y,,R404,3543,R404 - Transient alteration of awareness
,Y,M79609,3511,M79609 - Pain in unspecified limb
,,I69959,3502,I69959 - Hemiplegia and hemiparesis following uns
,,M79642,3493,M79642 - Pain in left hand
,,M5430,3492,"M5430 - Sciatica, unspecified side"
,,D869,3487,"D869 - Sarcoidosis, unspecified"
,,J4540,3482,"J4540 - Moderate persistent asthma, uncomplicate"
,,I69320,3481,I69320 - Aphasia following cerebral infarction
Y,,K5790,3481,"K5790 - Diverticulosis of intestine, part unspec"
,,Z7401,3479,Z7401 - Bed confinement status
,,R791,3472,R791 - Abnormal coagulation profile
,,D519,3465,"D519 - Vitamin B12 deficiency anemia, unspecifi"
,,Z136,3461,Z136 - Encounter for screening for cardiovascul
,,I1310,3453,I1310 - Hypertensive heart and chronic kidney di
,,M25532,3452,M25532 - Pain in left wrist
,,B029,3447,B029 - Zoster without complications
,,Z6842,3443,"Z6842 - Body mass index (BMI) 45.0-49.9, adult"
,,R252,3432,R252 - Cramp and spasm
,,R928,3426,R928 - Other abnormal and inconclusive findings
,,D5700,3424,"D5700 - Hb-SS disease with crisis, unspecified"
,,K7689,3417,K7689 - Other specified diseases of liver
,,Z789,3417,Z789 - Other specified health status
,,K2270,3415,K2270 - Barrett's esophagus without dysplasia
,,D6489,3414,D6489 - Other specified anemias
,,Z7189,3396,Z7189 - Other specified counseling
,,J310,3388,J310 - Chronic rhinitis
,,M899,3384,"M899 - Disorder of bone, unspecified"
,,R0981,3384,R0981 - Nasal congestion
,,D123,3365,D123 - Benign neoplasm of transverse colon
,,R630,3365,R630 - Anorexia
,,M86171,3362,"M86171 - Other acute osteomyelitis, right ankle a"
,,M609,3355,"M609 - Myositis, unspecified"
,,Z885,3355,Z885 - Allergy status to narcotic agent status
,,Z466,3348,Z466 - Encounter for fitting and adjustment of 
,,K4090,3347,"K4090 - Unilateral inguinal hernia, without obst"
,,G4089,3345,G4089 - Other seizures
,,L89153,3344,"L89153 - Pressure ulcer of sacral region, stage 3"
,,L97509,3331,L97509 - Non-pressure chronic ulcer of other part
,Y,M792,3331,"M792 - Neuralgia and neuritis, unspecified"
,,Z87440,3317,Z87440 - Personal history of urinary (tract) infe
,,Z96642,3316,Z96642 - Presence of left artificial hip joint
,,L578,3305,L578 - Other skin changes due to chronic exposu
,,D1801,3297,D1801 - Hemangioma of skin and subcutaneous tiss
,,F5101,3296,F5101 - Primary insomnia
Y,,J159,3296,J159 - Unspecified bacterial pneumonia
,,L89152,3296,"L89152 - Pressure ulcer of sacral region, stage 2"
,,L400,3292,L400 - Psoriasis vulgaris
,,Z03818,3292,Z03818 - Encounter for observation for suspected 
,,R7303,3288,R7303 - Prediabetes
,,G319,3284,"G319 - Degenerative disease of nervous system, "
,,H9190,3282,"H9190 - Unspecified hearing loss, unspecified ea"
,,Z792,3276,Z792 - Long term (current) use of antibiotics
,,H35033,3275,"H35033 - Hypertensive retinopathy, bilateral"
,,G8194,3265,"G8194 - Hemiplegia, unspecified affecting left n"
,,B9561,3264,B9561 - Methicillin susceptible Staphylococcus a
,,L97422,3255,L97422 - Non-pressure chronic ulcer of left heel 
,,M1710,3249,"M1710 - Unilateral primary osteoarthritis, unspe"
,,B370,3246,B370 - Candidal stomatitis
,,C3432,3246,"C3432 - Malignant neoplasm of lower lobe, left b"
,,F314,3242,"F314 - Bipolar disorder, current episode depres"
,,C159,3241,"C159 - Malignant neoplasm of esophagus, unspeci"
,,Z13220,3236,Z13220 - Encounter for screening for lipoid disor
,,G9389,3229,G9389 - Other specified disorders of brain
,,M4807,3228,"M4807 - Spinal stenosis, lumbosacral region"
,,I69391,3227,I69391 - Dysphagia following cerebral infarction
,,E1152,3221,E1152 - Type 2 diabetes mellitus with diabetic p
,,K5090,3214,"K5090 - Crohn's disease, unspecified, without co"
,,H5203,3206,"H5203 - Hypermetropia, bilateral"
,,I712,3196,"I712 - Thoracic aortic aneurysm, without ruptur"
,,C541,3194,C541 - Malignant neoplasm of endometrium
,,M7542,3190,M7542 - Impingement syndrome of left shoulder
,,Z124,3186,Z124 - Encounter for screening for malignant ne
,,G1221,3174,G1221 - Amyotrophic lateral sclerosis
,,M2560,3172,"M2560 - Stiffness of unspecified joint, not else"
,,Z89611,3171,Z89611 - Acquired absence of right leg above knee
,,E8330,3168,"E8330 - Disorder of phosphorus metabolism, unspe"
,,D751,3158,D751 - Secondary polycythemia
Y,,J479,3154,"J479 - Bronchiectasis, uncomplicated"
,,C250,3152,C250 - Malignant neoplasm of head of pancreas
,,C569,3152,C569 - Malignant neoplasm of unspecified ovary
,,E1040,3146,E1040 - Type 1 diabetes mellitus with diabetic n
,,R799,3144,"R799 - Abnormal finding of blood chemistry, uns"
,Y,K5732,3128,K5732 - Diverticulitis of large intestine withou
,,D122,3126,D122 - Benign neoplasm of ascending colon
,,E1042,3125,E1042 - Type 1 diabetes mellitus with diabetic p
,,R251,3125,"R251 - Tremor, unspecified"
,,Z7952,3123,Z7952 - Long term (current) use of systemic ster
,,C771,3122,C771 - Secondary and unspecified malignant neop
,Y,J45998,3120,J45998 - Other asthma
,,M19071,3111,"M19071 - Primary osteoarthritis, right ankle and "
,,M79601,3105,M79601 - Pain in right arm
,,Z4932,3096,Z4932 - Encounter for adequacy testing for perit
,,F3341,3094,"F3341 - Major depressive disorder, recurrent, in"
,,R972,3094,R972 - Elevated prostate specific antigen [PSA]
Y,Y,R1012,3091,R1012 - Left upper quadrant pain
,,M25461,3085,"M25461 - Effusion, right knee"
,,D688,3062,D688 - Other specified coagulation defects
,,H538,3062,H538 - Other visual disturbances
,,D6481,3060,D6481 - Anemia due to antineoplastic chemotherap
,,L97412,3047,L97412 - Non-pressure chronic ulcer of right heel
,,R195,3033,R195 - Other fecal abnormalities
,,C50411,3031,C50411 - Malignant neoplasm of upper-outer quadra
,,M9905,3030,M9905 - Segmental and somatic dysfunction of pel
Y,Y,I491,3023,I491 - Atrial premature depolarization
,,M1991,3023,"M1991 - Primary osteoarthritis, unspecified site"
,,Z4781,3021,Z4781 - Encounter for orthopedic aftercare follo
,,K222,3019,K222 - Esophageal obstruction
,,L03031,3013,L03031 - Cellulitis of right toe
,,F4322,2997,F4322 - Adjustment disorder with anxiety
,,F4320,2993,"F4320 - Adjustment disorder, unspecified"
,,G8191,2992,"G8191 - Hemiplegia, unspecified affecting right "
,,D571,2972,D571 - Sickle-cell disease without crisis
,,Z4502,2967,Z4502 - Encounter for adjustment and management 
,,M2042,2958,"M2042 - Other hammer toe(s) (acquired), left foo"
,,M25462,2948,"M25462 - Effusion, left knee"
,,M86172,2941,"M86172 - Other acute osteomyelitis, left ankle an"
,,R159,2936,R159 - Full incontinence of feces
,,K5792,2934,"K5792 - Diverticulitis of intestine, part unspec"
,,Z6830,2932,"Z6830 - Body mass index (BMI) 30.0-30.9, adult"
,,M5127,2930,"M5127 - Other intervertebral disc displacement, "
,,Z0189,2929,Z0189 - Encounter for other specified special ex
,,T148,2927,T148 - Other injury of unspecified body region
,,D473,2926,D473 - Essential (hemorrhagic) thrombocythemia
,,R938,2923,R938 - Abnormal findings on diagnostic imaging 
,,C73,2913,C73 - Malignant neoplasm of thyroid gland
,,G9009,2913,G9009 - Other idiopathic peripheral autonomic ne
,Y,I358,2901,I358 - Other nonrheumatic aortic valve disorder
,,M19072,2897,"M19072 - Primary osteoarthritis, left ankle and f"
,,M75121,2890,M75121 - Complete rotator cuff tear or rupture of
,,Z139,2886,"Z139 - Encounter for screening, unspecified"
,,S39012A,2885,"S39012A - Strain of muscle, fascia and tendon of l"
,,Z9114,2868,Z9114 - Patient's other noncompliance with medic
,,F322,2857,"F322 - Major depressive disorder, single episod"
,,G8190,2851,"G8190 - Hemiplegia, unspecified affecting unspec"
,,I38,2851,"I38 - Endocarditis, valve unspecified"
,,C8590,2847,"C8590 - Non-Hodgkin lymphoma, unspecified, unspe"
Y,Y,K209,2843,"K209 - Esophagitis, unspecified"
,Y,B349,2842,"B349 - Viral infection, unspecified"
,,D510,2840,D510 - Vitamin B12 deficiency anemia due to int
,,C649,2834,C649 - Malignant neoplasm of unspecified kidney
,,M79606,2833,"M79606 - Pain in leg, unspecified"
,,E890,2828,E890 - Postprocedural hypothyroidism
,,G4710,2824,"G4710 - Hypersomnia, unspecified"
,,E662,2820,E662 - Morbid (severe) obesity with alveolar hy
,,R3915,2802,R3915 - Urgency of urination
,,F1110,2801,"F1110 - Opioid abuse, uncomplicated"
,,I771,2791,I771 - Stricture of artery
,,E1100,2785,E1100 - Type 2 diabetes mellitus with hyperosmol
,,R221,2784,"R221 - Localized swelling, mass and lump, neck"
,,M353,2782,M353 - Polymyalgia rheumatica
,,M5032,2781,"M5032 - Other cervical disc degeneration, mid-ce"
,,Z681,2778,"Z681 - Body mass index (BMI) 19.9 or less, adul"
,,H4011X2,2777,H4011X2 - NA
,,L03032,2777,L03032 - Cellulitis of left toe
,,F900,2772,F900 - Attention-deficit hyperactivity disorder
,,Z431,2770,Z431 - Encounter for attention to gastrostomy
,,Z131,2767,Z131 - Encounter for screening for diabetes mel
,,K6389,2763,K6389 - Other specified diseases of intestine
,,S199XXA,2762,"S199XXA - Unspecified injury of neck, initial enco"
,,M6282,2756,M6282 - Rhabdomyolysis
,,M3210,2755,"M3210 - Systemic lupus erythematosus, organ or s"
,,D125,2750,D125 - Benign neoplasm of sigmoid colon
,,Z043,2750,Z043 - Encounter for examination and observatio
,,Z6827,2750,"Z6827 - Body mass index (BMI) 27.0-27.9, adult"
,,K439,2745,K439 - Ventral hernia without obstruction or ga
,,Z6843,2740,"Z6843 - Body mass index (BMI) 50-59.9, adult"
,,K7030,2739,K7030 - Alcoholic cirrhosis of liver without asc
,,D709,2731,"D709 - Neutropenia, unspecified"
,,K429,2729,K429 - Umbilical hernia without obstruction or 
,,J3489,2727,J3489 - Other specified disorders of nose and na
,,T8131XA,2723,T8131XA - Disruption of external operation (surgic
,,G250,2722,G250 - Essential tremor
,,F05,2718,F05 - Delirium due to known physiological cond
,,L97812,2717,L97812 - Non-pressure chronic ulcer of other part
,,I071,2713,I071 - Rheumatic tricuspid insufficiency
,,I6522,2712,I6522 - Occlusion and stenosis of left carotid a
,,H25812,2711,"H25812 - Combined forms of age-related cataract, "
,,I6521,2707,I6521 - Occlusion and stenosis of right carotid 
,,F1920,2705,"F1920 - Other psychoactive substance dependence,"
,Y,M25521,2700,M25521 - Pain in right elbow
,,G608,2699,G608 - Other hereditary and idiopathic neuropat
Y,Y,R1010,2698,"R1010 - Upper abdominal pain, unspecified"
,,Z6831,2690,"Z6831 - Body mass index (BMI) 31.0-31.9, adult"
,,F315,2689,"F315 - Bipolar disorder, current episode depres"
,,N3001,2687,N3001 - Acute cystitis with hematuria
,,R042,2686,R042 - Hemoptysis
,,D693,2681,D693 - Immune thrombocytopenic purpura
,,Z6829,2679,"Z6829 - Body mass index (BMI) 29.0-29.9, adult"
,,Z85118,2674,Z85118 - Personal history of other malignant neop
,,C7989,2670,C7989 - Secondary malignant neoplasm of other sp
,,F1910,2667,"F1910 - Other psychoactive substance abuse, unco"
,,E1139,2665,E1139 - Type 2 diabetes mellitus with other diab
,,F328,2665,F328 - Other depressive episodes
,,Z4901,2663,Z4901 - Encounter for fitting and adjustment of 
,,J342,2658,J342 - Deviated nasal septum
,,Z6828,2656,"Z6828 - Body mass index (BMI) 28.0-28.9, adult"
,,E11351,2634,E11351 - Type 2 diabetes mellitus with proliferat
,,M5117,2633,M5117 - Intervertebral disc disorders with radic
,,Z8719,2632,Z8719 - Personal history of other diseases of th
,,H905,2630,H905 - Unspecified sensorineural hearing loss
,,E11628,2626,E11628 - Type 2 diabetes mellitus with other skin
,,M7061,2624,"M7061 - Trochanteric bursitis, right hip"
,,N138,2620,N138 - Other obstructive and reflux uropathy
,,H52223,2618,"H52223 - Regular astigmatism, bilateral"
,,R490,2617,R490 - Dysphonia
,,G931,2610,"G931 - Anoxic brain damage, not elsewhere class"
,,S299XXA,2604,"S299XXA - Unspecified injury of thorax, initial en"
,,R160,2603,"R160 - Hepatomegaly, not elsewhere classified"
,,K7290,2601,"K7290 - Hepatic failure, unspecified without com"
,,M419,2601,"M419 - Scoliosis, unspecified"
,,C7801,2600,C7801 - Secondary malignant neoplasm of right lu
,,C220,2598,C220 - Liver cell carcinoma
,,R0683,2595,R0683 - Snoring
,,L409,2593,"L409 - Psoriasis, unspecified"
,,G308,2590,G308 - Other Alzheimer's disease
,,G92,2587,G92 - Toxic encephalopathy
,,L97822,2573,L97822 - Non-pressure chronic ulcer of other part
,,M5414,2573,"M5414 - Radiculopathy, thoracic region"
,Y,M5489,2567,M5489 - Other dorsalgia
,,M47814,2562,M47814 - Spondylosis without myelopathy or radicu
,,M531,2554,M531 - Cervicobrachial syndrome
,,B1910,2553,B1910 - Unspecified viral hepatitis B without he
,,E1310,2552,E1310 - Other specified diabetes mellitus with k
,,Z6826,2548,"Z6826 - Body mass index (BMI) 26.0-26.9, adult"
,,T451X5A,2528,T451X5A - Adverse effect of antineoplastic and imm
,,L905,2525,L905 - Scar conditions and fibrosis of skin
,,G710,2519,G710 - Muscular dystrophy
,,M75101,2519,M75101 - Unspecified rotator cuff tear or rupture
,,Z9911,2513,Z9911 - Dependence on respirator [ventilator] st
,,H26493,2507,"H26493 - Other secondary cataract, bilateral"
,,M25662,2507,"M25662 - Stiffness of left knee, not elsewhere cl"
,,E11329,2506,E11329 - Type 2 diabetes mellitus with mild nonpr
,,A0472,2497,A0472 - Enterocolitis due to Clostridium diffici
,,K649,2493,K649 - Unspecified hemorrhoids
,,M064,2491,M064 - Inflammatory polyarthropathy
,,Z9884,2487,Z9884 - Bariatric surgery status
,,M4722,2486,"M4722 - Other spondylosis with radiculopathy, ce"
,,Z45018,2486,Z45018 - Encounter for adjustment and management 
,,M1000,2474,"M1000 - Idiopathic gout, unspecified site"
,,M169,2473,"M169 - Osteoarthritis of hip, unspecified"
,,M25612,2468,"M25612 - Stiffness of left shoulder, not elsewher"
,,Z21,2463,Z21 - Asymptomatic human immunodeficiency viru
,,K766,2461,K766 - Portal hypertension
,,Z515,2449,Z515 - Encounter for palliative care
,,K7031,2448,K7031 - Alcoholic cirrhosis of liver with ascite
,,M25661,2447,"M25661 - Stiffness of right knee, not elsewhere c"
,Y,M25522,2445,M25522 - Pain in left elbow
,,Z6832,2425,"Z6832 - Body mass index (BMI) 32.0-32.9, adult"
,,Z430,2421,Z430 - Encounter for attention to tracheostomy
,,F1021,2419,"F1021 - Alcohol dependence, in remission"
,,Z006,2411,Z006 - Encounter for examination for normal com
,,E11359,2410,E11359 - Type 2 diabetes mellitus with proliferat
,,H4011X1,2410,H4011X1 - NA
,,I6782,2407,I6782 - Cerebral ischemia
,,K7469,2406,K7469 - Other cirrhosis of liver
,,Z882,2401,Z882 - Allergy status to sulfonamides status
,,K920,2386,K920 - Hematemesis
,,I638,2385,I638 - Other cerebral infarction
,,N63,2385,N63 - Unspecified lump in breast
,,T814XXA,2383,T814XXA - NA
,,R740,2382,R740 - Nonspecific elevation of levels of trans
,,Z7951,2372,Z7951 - Long term (current) use of inhaled stero
,,M4712,2371,"M4712 - Other spondylosis with myelopathy, cervi"
,,I69898,2363,I69898 - Other sequelae of other cerebrovascular 
,,J9612,2357,J9612 - Chronic respiratory failure with hyperca
,,R4189,2353,R4189 - Other symptoms and signs involving cogni
,,F17290,2349,"F17290 - Nicotine dependence, other tobacco produ"
,,Z803,2346,Z803 - Family history of malignant neoplasm of 
,,F1520,2335,"F1520 - Other stimulant dependence, uncomplicate"
Y,,J111,2335,J111 - Influenza due to unidentified influenza 
,,M5020,2335,"M5020 - Other cervical disc displacement, unspec"
,,I871,2334,I871 - Compression of vein
,,Z923,2334,Z923 - Personal history of irradiation
,,Z596,2330,Z596 - Low income
,,D126,2327,"D126 - Benign neoplasm of colon, unspecified"
,,M7062,2327,"M7062 - Trochanteric bursitis, left hip"
,,R220,2324,"R220 - Localized swelling, mass and lump, head"
,,N2589,2320,N2589 - Other disorders resulting from impaired 
,,H35373,2318,"H35373 - Puckering of macula, bilateral"
,Y,R6521,2317,R6521 - Severe sepsis with septic shock
,,N3289,2311,N3289 - Other specified disorders of bladder
,,E0840,2301,E0840 - Diabetes mellitus due to underlying cond
,Y,I348,2300,I348 - Other nonrheumatic mitral valve disorder
,,N178,2299,N178 - Other acute kidney failure
,,R4584,2299,R4584 - Anhedonia
,,J320,2298,J320 - Chronic maxillary sinusitis
,,K859,2293,"K859 - Acute pancreatitis, unspecified"
,,M19041,2293,"M19041 - Primary osteoarthritis, right hand"
,,H40003,2284,"H40003 - Preglaucoma, unspecified, bilateral"
,,E1069,2283,E1069 - Type 1 diabetes mellitus with other spec
,,Z87442,2283,Z87442 - Personal history of urinary calculi
,,B372,2272,B372 - Candidiasis of skin and nail
