From plots,From ICD9,dx,n,desc
Y,Y,J690,12739,J690 - Pneumonitis due to inhalation of food an
,,R9439,12694,R9439 - Abnormal result of other cardiovascular
,,I498,12629,I498 - Other specified cardiac arrhythmias
,,F3132,12623,"F3132 - Bipolar disorder, current episode depres"
,,E11319,12616,E11319 - Type 2 diabetes mellitus with unspecifie
,Y,I25810,12600,I25810 - Atherosclerosis of coronary artery bypas
Y,,R1031,12594,R1031 - Right lower quadrant pain
,,C50412,12591,C50412 - Malignant neoplasm of upper-outer quadra
,,J811,12583,J811 - Chronic pulmonary edema
Y,Y,R627,12537,R627 - Adult failure to thrive
,,E781,12531,E781 - Pure hyperglyceridemia
,,Z1389,12524,Z1389 - Encounter for screening for other disord
Y,,D539,12506,"D539 - Nutritional anemia, unspecified"
,,E611,12499,E611 - Iron deficiency
,Y,J4540,12449,"J4540 - Moderate persistent asthma, uncomplicate"
,,R260,12425,R260 - Ataxic gait
,,C20,12414,C20 - Malignant neoplasm of rectum
,,Z880,12412,Z880 - Allergy status to penicillin
,,I420,12391,I420 - Dilated cardiomyopathy
,,M6250,12346,"M6250 - Muscle wasting and atrophy, not elsewher"
,,M25559,12313,M25559 - Pain in unspecified hip
,,F0151,12288,F0151 - Vascular dementia with behavioral distur
,,L089,12282,L089 - Local infection of the skin and subcutan
,,E8352,12281,E8352 - Hypercalcemia
,,Z48812,12248,Z48812 - Encounter for surgical aftercare followi
,,Z5112,12241,Z5112 - Encounter for antineoplastic immunothera
,,N3946,12210,N3946 - Mixed incontinence
,,H269,12195,H269 - Unspecified cataract
Y,,R1030,12075,"R1030 - Lower abdominal pain, unspecified"
Y,,D61818,12037,D61818 - Other pancytopenia
,Y,J42,12022,J42 - Unspecified chronic bronchitis
,,R41841,11992,R41841 - Cognitive communication deficit
,,D225,11976,D225 - Melanocytic nevi of trunk
,,J0100,11965,"J0100 - Acute maxillary sinusitis, unspecified"
,,N3281,11961,N3281 - Overactive bladder
,,F328,11904,F328 - Other depressive episodes
,,F840,11838,F840 - Autistic disorder
,,E162,11786,"E162 - Hypoglycemia, unspecified"
,,L603,11714,L603 - Nail dystrophy
,,F4321,11662,F4321 - Adjustment disorder with depressed mood
,,N1330,11644,N1330 - Unspecified hydronephrosis
,,M160,11638,M160 - Bilateral primary osteoarthritis of hip
,,Z86711,11614,Z86711 - Personal history of pulmonary embolism
,Y,M79609,11606,M79609 - Pain in unspecified limb
,,B353,11585,B353 - Tinea pedis
,,R1311,11584,"R1311 - Dysphagia, oral phase"
,,I442,11531,"I442 - Atrioventricular block, complete"
,,M2041,11519,"M2041 - Other hammer toe(s) (acquired), right fo"
,,M3210,11402,"M3210 - Systemic lupus erythematosus, organ or s"
,,T8189XA,11395,"T8189XA - Other complications of procedures, not e"
,,Z96641,11367,Z96641 - Presence of right artificial hip joint
,,D571,11351,D571 - Sickle-cell disease without crisis
,,M4726,11334,"M4726 - Other spondylosis with radiculopathy, lu"
,,M1389,11326,"M1389 - Other specified arthritis, multiple site"
Y,Y,J181,11306,"J181 - Lobar pneumonia, unspecified organism"
Y,Y,R0781,11301,R0781 - Pleurodynia
,,Z981,11280,Z981 - Arthrodesis status
,,M533,11214,"M533 - Sacrococcygeal disorders, not elsewhere"
Y,Y,J9620,11201,"J9620 - Acute and chronic respiratory failure, u"
,,Z029,11120,Z029 - Encounter for administrative examination
,,I69959,11084,I69959 - Hemiplegia and hemiparesis following uns
,,Z6842,11077,"Z6842 - Body mass index (BMI) 45.0-49.9, adult"
,,J3081,11067,J3081 - Allergic rhinitis due to animal (cat) (d
,,I4510,11035,I4510 - Unspecified right bundle-branch block
,,Z9861,11000,Z9861 - Coronary angioplasty status
,,M5430,10999,"M5430 - Sciatica, unspecified side"
,Y,K589,10966,K589 - Irritable bowel syndrome without diarrhe
,,M519,10963,"M519 - Unspecified thoracic, thoracolumbar and"
,,M5431,10914,"M5431 - Sciatica, right side"
,,M79641,10885,M79641 - Pain in right hand
,,Z9049,10858,Z9049 - Acquired absence of other specified part
,,C50411,10828,C50411 - Malignant neoplasm of upper-outer quadra
Y,Y,I2720,10792,"I2720 - Pulmonary hypertension, unspecified"
,,E11649,10743,E11649 - Type 2 diabetes mellitus with hypoglycem
,,R7301,10721,R7301 - Impaired fasting glucose
,,I200,10674,I200 - Unstable angina
,,L814,10667,L814 - Other melanin hyperpigmentation
,,Z933,10663,Z933 - Colostomy status
,,N529,10624,"N529 - Male erectile dysfunction, unspecified"
,,N393,10619,N393 - Stress incontinence (female) (male)
,,I712,10600,"I712 - Thoracic aortic aneurysm, without ruptur"
,,N2889,10593,N2889 - Other specified disorders of kidney and
,,Z6843,10577,"Z6843 - Body mass index (BMI) 50-59.9, adult"
,,R5382,10573,"R5382 - Chronic fatigue, unspecified"
,,C3412,10516,"C3412 - Malignant neoplasm of upper lobe, left b"
,,M8580,10488,M8580 - Other specified disorders of bone densit
,,K5909,10466,K5909 - Other constipation
,,L89154,10437,"L89154 - Pressure ulcer of sacral region, stage 4"
,,R928,10437,R928 - Other abnormal and inconclusive findings
,,E0590,10405,"E0590 - Thyrotoxicosis, unspecified without thyr"
,,L97511,10397,L97511 - Non-pressure chronic ulcer of other part
,,E1143,10385,E1143 - Type 2 diabetes mellitus with diabetic a
,,L853,10358,L853 - Xerosis cutis
,,C9110,10354,C9110 - Chronic lymphocytic leukemia of B-cell t
,,K648,10345,K648 - Other hemorrhoids
,,D510,10267,D510 - Vitamin B12 deficiency anemia due to int
,,B9689,10194,B9689 - Other specified bacterial agents as the
,,G8194,10189,"G8194 - Hemiplegia, unspecified affecting left n"
,,Z930,10181,Z930 - Tracheostomy status
,,I6930,10153,I6930 - Unspecified sequelae of cerebral infarct
,,Z1159,10124,Z1159 - Encounter for screening for other viral
,,Z08,10120,Z08 - Encounter for follow-up examination afte
,,H4011X2,10118,H4011X2 - NA
,,Z95810,10075,Z95810 - Presence of automatic (implantable) card
,,I313,10062,I313 - Pericardial effusion (noninflammatory)
,,H540,10047,"H540 - Blindness, both eyes"
,,D519,10031,"D519 - Vitamin B12 deficiency anemia, unspecifi"
,,L97519,10031,L97519 - Non-pressure chronic ulcer of other part
,,L97529,10019,L97529 - Non-pressure chronic ulcer of other part
,,R270,10003,"R270 - Ataxia, unspecified"
,,I359,9973,"I359 - Nonrheumatic aortic valve disorder, unsp"
Y,,E878,9960,E878 - Other disorders of electrolyte and fluid
,,M47896,9960,"M47896 - Other spondylosis, lumbar region"
,,I69998,9941,I69998 - Other sequelae following unspecified cer
,,C9200,9917,"C9200 - Acute myeloblastic leukemia, not having"
,,I69398,9905,I69398 - Other sequelae of cerebral infarction
,,M48062,9888,"M48062 - Spinal stenosis, lumbar region with neur"
Y,Y,R601,9878,R601 - Generalized edema
,,E079,9858,"E079 - Disorder of thyroid, unspecified"
,,Z7902,9857,Z7902 - Long term (current) use of antithromboti
,,E8339,9850,E8339 - Other disorders of phosphorus metabolism
Y,Y,K2950,9808,K2950 - Unspecified chronic gastritis without bl
,,A047,9807,A047 - Enterocolitis due to Clostridium diffici
,,J310,9756,J310 - Chronic rhinitis
,,M609,9690,"M609 - Myositis, unspecified"
,,K861,9679,K861 - Other chronic pancreatitis
,,L97521,9679,L97521 - Non-pressure chronic ulcer of other part
Y,Y,I208,9677,I208 - Other forms of angina pectoris
,,F320,9666,"F320 - Major depressive disorder, single episod"
Y,,E870,9657,E870 - Hyperosmolality and hypernatremia
,,F314,9647,"F314 - Bipolar disorder, current episode depres"
,,R4701,9633,R4701 - Aphasia
,,C7931,9632,C7931 - Secondary malignant neoplasm of brain
,,H9190,9611,"H9190 - Unspecified hearing loss, unspecified ea"
,,E213,9609,"E213 - Hyperparathyroidism, unspecified"
,,H5213,9609,"H5213 - Myopia, bilateral"
,,R945,9583,R945 - Abnormal results of liver function studi
Y,Y,M79661,9571,M79661 - Pain in right lower leg
,,G5602,9562,"G5602 - Carpal tunnel syndrome, left upper limb"
Y,Y,J479,9536,"J479 - Bronchiectasis, uncomplicated"
,,L989,9530,L989 - Disorder of the skin and subcutaneous ti
Y,,J432,9466,J432 - Centrilobular emphysema
,,E8351,9456,E8351 - Hypocalcemia
,,F2089,9454,F2089 - Other schizophrenia
,,M1991,9445,"M1991 - Primary osteoarthritis, unspecified site"
,,M5440,9434,"M5440 - Lumbago with sciatica, unspecified side"
,,R040,9433,R040 - Epistaxis
,,R488,9433,R488 - Other symbolic dysfunctions
,,F1220,9401,"F1220 - Cannabis dependence, uncomplicated"
,,Z7409,9400,Z7409 - Other reduced mobility
,,M4807,9363,"M4807 - Spinal stenosis, lumbosacral region"
Y,Y,M79662,9347,M79662 - Pain in left lower leg
,,C3491,9303,C3491 - Malignant neoplasm of unspecified part o
,,Z713,9297,Z713 - Dietary counseling and surveillance
,,U071,9282,U071 - NA
,,F064,9257,F064 - Anxiety disorder due to known physiologi
,,Z8249,9252,Z8249 - Family history of ischemic heart disease
,,Z8679,9206,Z8679 - Personal history of other diseases of th
,,G8191,9176,"G8191 - Hemiplegia, unspecified affecting right"
,,I160,9101,I160 - Hypertensive urgency
,,B9620,9075,B9620 - Unspecified Escherichia coli [E. coli] a
,,G40901,9075,"G40901 - Epilepsy, unspecified, not intractable,"
,,Z96642,9048,Z96642 - Presence of left artificial hip joint
,,M25531,9035,M25531 - Pain in right wrist
,,F3341,9033,"F3341 - Major depressive disorder, recurrent, in"
,,H35033,8977,"H35033 - Hypertensive retinopathy, bilateral"
,,M5432,8972,"M5432 - Sciatica, left side"
Y,Y,M5489,8972,M5489 - Other dorsalgia
,,R54,8950,R54 - Age-related physical debility
,,Z4889,8935,Z4889 - Encounter for other specified surgical a
,,I440,8890,"I440 - Atrioventricular block, first degree"
,,M7541,8876,M7541 - Impingement syndrome of right shoulder
,,K7689,8874,K7689 - Other specified diseases of liver
,,M25611,8846,"M25611 - Stiffness of right shoulder, not elsewhe"
,,Z888,8800,"Z888 - Allergy status to other drugs, medicamen"
,,H4011X1,8763,H4011X1 - NA
,,G250,8712,G250 - Essential tremor
,,M353,8700,M353 - Polymyalgia rheumatica
,,M792,8693,"M792 - Neuralgia and neuritis, unspecified"
,,M1380,8681,"M1380 - Other specified arthritis, unspecified s"
,,M19071,8657,"M19071 - Primary osteoarthritis, right ankle and"
,,K769,8653,"K769 - Liver disease, unspecified"
Y,,E440,8649,E440 - Moderate protein-calorie malnutrition
Y,Y,K5732,8623,K5732 - Diverticulitis of large intestine withou
Y,,K5790,8621,"K5790 - Diverticulosis of intestine, part unspec"
,,G4710,8610,"G4710 - Hypersomnia, unspecified"
,,T148,8589,T148 - Other injury of unspecified body region
,,E108,8581,E108 - Type 1 diabetes mellitus with unspecifie
,,M79642,8545,M79642 - Pain in left hand
,,Z8546,8498,Z8546 - Personal history of malignant neoplasm o
,,N63,8477,N63 - Unspecified lump in breast
,,D6489,8471,D6489 - Other specified anemias
,,C3431,8459,"C3431 - Malignant neoplasm of lower lobe, right"
Y,Y,J159,8429,J159 - Unspecified bacterial pneumonia
,,R9720,8421,R9720 - Elevated prostate specific antigen [PSA]
Y,,R938,8411,R938 - Abnormal findings on diagnostic imaging
,,M169,8408,"M169 - Osteoarthritis of hip, unspecified"
,,B9562,8406,B9562 - Methicillin resistant Staphylococcus aur
,,R0981,8380,R0981 - Nasal congestion
,,H905,8362,H905 - Unspecified sensorineural hearing loss
,,K7030,8358,K7030 - Alcoholic cirrhosis of liver without asc
,,Z124,8338,Z124 - Encounter for screening for malignant ne
,,H5203,8315,"H5203 - Hypermetropia, bilateral"
,,C801,8302,"C801 - Malignant (primary) neoplasm, unspecifie"
,,M419,8301,"M419 - Scoliosis, unspecified"
,,F5101,8295,F5101 - Primary insomnia
,,G8190,8279,"G8190 - Hemiplegia, unspecified affecting unspec"
,,M25532,8256,M25532 - Pain in left wrist
,,G4089,8242,G4089 - Other seizures
,,B029,8240,B029 - Zoster without complications
,,F22,8172,F22 - Delusional disorders
,,E890,8123,E890 - Postprocedural hypothyroidism
,,M25461,8123,"M25461 - Effusion, right knee"
,,D701,8117,D701 - Agranulocytosis secondary to cancer chem
,,R159,8086,R159 - Full incontinence of feces
,,G319,8071,"G319 - Degenerative disease of nervous system,"
,,K4090,8070,"K4090 - Unilateral inguinal hernia, without obst"
,,E8809,8068,E8809 - Other disorders of plasma-protein metabo
,,Z136,8068,Z136 - Encounter for screening for cardiovascul
,,F322,8067,"F322 - Major depressive disorder, single episod"
,,D1801,8052,D1801 - Hemangioma of skin and subcutaneous tiss
,,Z4800,8045,Z4800 - Encounter for change or removal of nonsu
,,C8590,8041,"C8590 - Non-Hodgkin lymphoma, unspecified, unspe"
,,C259,8039,"C259 - Malignant neoplasm of pancreas, unspecif"
,,K2270,8025,K2270 - Barrett's esophagus without dysplasia
,,M158,8005,M158 - Other polyosteoarthritis
,,R338,8004,R338 - Other retention of urine
,,N181,7996,"N181 - Chronic kidney disease, stage 1"
,,M064,7989,M064 - Inflammatory polyarthropathy
,,K5090,7963,"K5090 - Crohn's disease, unspecified, without co"
,,R972,7946,R972 - Elevated prostate specific antigen [PSA]
,,G893,7943,G893 - Neoplasm related pain (acute) (chronic)
,,F1210,7936,"F1210 - Cannabis abuse, uncomplicated"
,,L400,7936,L400 - Psoriasis vulgaris
,,Z792,7921,Z792 - Long term (current) use of antibiotics
,,I1310,7912,I1310 - Hypertensive heart and chronic kidney di
,Y,L03031,7912,L03031 - Cellulitis of right toe
,,R251,7898,"R251 - Tremor, unspecified"
,,Z7952,7896,Z7952 - Long term (current) use of systemic ster
,,M2042,7891,"M2042 - Other hammer toe(s) (acquired), left foo"
,,R252,7870,R252 - Cramp and spasm
,,L578,7859,L578 - Other skin changes due to chronic exposu
,,D473,7825,D473 - Essential (hemorrhagic) thrombocythemia
,,R3915,7824,R3915 - Urgency of urination
,,C569,7813,C569 - Malignant neoplasm of unspecified ovary
,,D5700,7807,"D5700 - Hb-SS disease with crisis, unspecified"
,,Z20822,7802,Z20822 - NA
,,M25462,7748,"M25462 - Effusion, left knee"
,Y,M79602,7741,M79602 - Pain in left arm
Y,Y,M79606,7736,"M79606 - Pain in leg, unspecified"
,,R45851,7727,R45851 - Suicidal ideations
,,Z7189,7726,Z7189 - Other specified counseling
,,R7303,7702,R7303 - Prediabetes
,,J4530,7693,"J4530 - Mild persistent asthma, uncomplicated"
,,M7061,7692,"M7061 - Trochanteric bursitis, right hip"
,,C649,7691,C649 - Malignant neoplasm of unspecified kidney
,,R4584,7687,R4584 - Anhedonia
,,I96,7652,"I96 - Gangrene, not elsewhere classified"
Y,,M6282,7640,M6282 - Rhabdomyolysis
,,K3189,7633,K3189 - Other diseases of stomach and duodenum
,,Z431,7612,Z431 - Encounter for attention to gastrostomy
,,I491,7601,I491 - Atrial premature depolarization
,,I341,7579,I341 - Nonrheumatic mitral (valve) prolapse
,,Z789,7540,Z789 - Other specified health status
,,R0683,7531,R0683 - Snoring
,,I358,7505,I358 - Other nonrheumatic aortic valve disorder
,,R404,7502,R404 - Transient alteration of awareness
,,Z885,7502,Z885 - Allergy status to narcotic agent status
Y,Y,R630,7438,R630 - Anorexia
,,G9009,7429,G9009 - Other idiopathic peripheral autonomic ne
,,C541,7407,C541 - Malignant neoplasm of endometrium
,,R791,7396,R791 - Abnormal coagulation profile
,,M7542,7387,M7542 - Impingement syndrome of left shoulder
,,M19072,7379,"M19072 - Primary osteoarthritis, left ankle and f"
,,D123,7373,D123 - Benign neoplasm of transverse colon
,,C7800,7355,C7800 - Secondary malignant neoplasm of unspecif
,,M9905,7348,M9905 - Segmental and somatic dysfunction of pel
,,H538,7343,H538 - Other visual disturbances
,,Z9119,7341,Z9119 - Patient's noncompliance with other medic
,,M2560,7329,"M2560 - Stiffness of unspecified joint, not else"
,,N201,7310,N201 - Calculus of ureter
,,E662,7277,E662 - Morbid (severe) obesity with alveolar hy
,,F4322,7261,F4322 - Adjustment disorder with anxiety
,,M5127,7261,"M5127 - Other intervertebral disc displacement,"
,,N250,7261,N250 - Renal osteodystrophy
,,M1000,7259,"M1000 - Idiopathic gout, unspecified site"
,,E11351,7233,E11351 - Type 2 diabetes mellitus with proliferat
,,M1710,7233,"M1710 - Unilateral primary osteoarthritis, unspe"
,,E1139,7232,E1139 - Type 2 diabetes mellitus with other diab
,,H26493,7229,"H26493 - Other secondary cataract, bilateral"
,,I69898,7186,I69898 - Other sequelae of other cerebrovascular
,,M5414,7114,"M5414 - Radiculopathy, thoracic region"
Y,,K209,7102,"K209 - Esophagitis, unspecified"
,,E11329,7100,E11329 - Type 2 diabetes mellitus with mild nonpr
,,R195,7092,R195 - Other fecal abnormalities
,,F1920,7085,"F1920 - Other psychoactive substance dependence,"
,,M899,7073,"M899 - Disorder of bone, unspecified"
,,E668,7068,E668 - Other obesity
Y,,F05,7065,F05 - Delirium due to known physiological cond
Y,Y,M79601,7053,M79601 - Pain in right arm
,,Z9114,7003,Z9114 - Patient's other noncompliance with medic
,,Z0189,6987,Z0189 - Encounter for other specified special ex
,,I071,6984,I071 - Rheumatic tricuspid insufficiency
,,H4011X3,6983,H4011X3 - NA
,,Z45018,6969,Z45018 - Encounter for adjustment and management
,,M75101,6961,M75101 - Unspecified rotator cuff tear or rupture
,,K7290,6959,"K7290 - Hepatic failure, unspecified without com"
,Y,L03032,6958,L03032 - Cellulitis of left toe
,,K222,6956,K222 - Esophageal obstruction
,,B370,6952,B370 - Candidal stomatitis
,,F315,6946,"F315 - Bipolar disorder, current episode depres"
,,M47814,6939,M47814 - Spondylosis without myelopathy or radicu
,,M86172,6933,"M86172 - Other acute osteomyelitis, left ankle an"
,,E1042,6919,E1042 - Type 1 diabetes mellitus with diabetic p
,,M86171,6919,"M86171 - Other acute osteomyelitis, right ankle a"
,,F1410,6901,"F1410 - Cocaine abuse, uncomplicated"
,,L97509,6901,L97509 - Non-pressure chronic ulcer of other part
,,I69320,6888,I69320 - Aphasia following cerebral infarction
,,Z4931,6874,Z4931 - Encounter for adequacy testing for hemod
,,N170,6848,N170 - Acute kidney failure with tubular necros
,,G40309,6838,G40309 - Generalized idiopathic epilepsy and epil
,,D688,6826,D688 - Other specified coagulation defects
,,H52223,6803,"H52223 - Regular astigmatism, bilateral"
,,C73,6789,C73 - Malignant neoplasm of thyroid gland
,,J3489,6780,J3489 - Other specified disorders of nose and na
,,R490,6776,R490 - Dysphonia
,,Z139,6774,"Z139 - Encounter for screening, unspecified"
,,H40003,6764,"H40003 - Preglaucoma, unspecified, bilateral"
,,D122,6755,D122 - Benign neoplasm of ascending colon
,,E1100,6738,E1100 - Type 2 diabetes mellitus with hyperosmol
,,F900,6727,F900 - Attention-deficit hyperactivity disorder
,,M25661,6727,"M25661 - Stiffness of right knee, not elsewhere c"
,,M5032,6717,"M5032 - Other cervical disc degeneration, mid-ce"
,,M25612,6703,"M25612 - Stiffness of left shoulder, not elsewher"
,,L409,6692,"L409 - Psoriasis, unspecified"
,,Z741,6661,Z741 - Need for assistance with personal care
Y,Y,R1012,6657,R1012 - Left upper quadrant pain
,,R221,6627,"R221 - Localized swelling, mass and lump, neck"
,,M75121,6608,M75121 - Complete rotator cuff tear or rupture of
,,C3432,6599,"C3432 - Malignant neoplasm of lower lobe, left b"
Y,Y,J9622,6599,J9622 - Acute and chronic respiratory failure wi
,,G5600,6583,"G5600 - Carpal tunnel syndrome, unspecified uppe"
,,B9561,6581,B9561 - Methicillin susceptible Staphylococcus a
,,F4320,6556,"F4320 - Adjustment disorder, unspecified"
,,Z89511,6552,Z89511 - Acquired absence of right leg below knee
,,B372,6536,B372 - Candidiasis of skin and nail
,,M5117,6527,M5117 - Intervertebral disc disorders with radic
,,G603,6525,G603 - Idiopathic progressive neuropathy
,,K429,6525,K429 - Umbilical hernia without obstruction or
,,L97412,6522,L97412 - Non-pressure chronic ulcer of right heel
,,K439,6520,K439 - Ventral hernia without obstruction or ga
,,D72819,6516,"D72819 - Decreased white blood cell count, unspec"
,,I38,6515,"I38 - Endocarditis, valve unspecified"
,,E11359,6493,E11359 - Type 2 diabetes mellitus with proliferat
,,M7062,6489,"M7062 - Trochanteric bursitis, left hip"
,,E232,6475,E232 - Diabetes insipidus
,,D751,6444,D751 - Secondary polycythemia
,,N3001,6431,N3001 - Acute cystitis with hematuria
,,K7031,6418,K7031 - Alcoholic cirrhosis of liver with ascite
,,E0842,6412,E0842 - Diabetes mellitus due to underlying cond
,,G9389,6407,G9389 - Other specified disorders of brain
,,D709,6372,"D709 - Neutropenia, unspecified"
,,D6481,6369,D6481 - Anemia due to antineoplastic chemotherap
,,M5020,6367,"M5020 - Other cervical disc displacement, unspec"
,,Z87440,6355,Z87440 - Personal history of urinary (tract) infe
,,K7469,6354,K7469 - Other cirrhosis of liver
,,I638,6320,I638 - Other cerebral infarction
,,D259,6316,"D259 - Leiomyoma of uterus, unspecified"
,,Z803,6310,Z803 - Family history of malignant neoplasm of
,,L97422,6298,L97422 - Non-pressure chronic ulcer of left heel
,,Z931,6290,Z931 - Gastrostomy status
,,J342,6282,J342 - Deviated nasal septum
,,Z466,6269,Z466 - Encounter for fitting and adjustment of
,,Z85118,6257,Z85118 - Personal history of other malignant neop
,,Z13220,6256,Z13220 - Encounter for screening for lipoid disor
,,L905,6252,L905 - Scar conditions and fibrosis of skin
,,Z131,6252,Z131 - Encounter for screening for diabetes mel
,,E049,6245,"E049 - Nontoxic goiter, unspecified"
,,G589,6236,"G589 - Mononeuropathy, unspecified"
Y,Y,J9602,6233,J9602 - Acute respiratory failure with hypercapn
,,M2011,6228,"M2011 - Hallux valgus (acquired), right foot"
,,E1040,6213,E1040 - Type 1 diabetes mellitus with diabetic n
Y,Y,B349,6212,"B349 - Viral infection, unspecified"
,,Z780,6208,Z780 - Asymptomatic menopausal state
,,C159,6207,"C159 - Malignant neoplasm of esophagus, unspeci"
,,C7989,6200,C7989 - Secondary malignant neoplasm of other sp
,,C773,6183,C773 - Secondary and unspecified malignant neop
,,H16223,6170,"H16223 - Keratoconjunctivitis sicca, not specifie"
,,H547,6162,H547 - Unspecified visual loss
,,S39012A,6150,"S39012A - Strain of muscle, fascia and tendon of l"
,,K766,6149,K766 - Portal hypertension
,,I6521,6144,I6521 - Occlusion and stenosis of right carotid
,,T814XXA,6144,T814XXA - NA
,,H26491,6140,"H26491 - Other secondary cataract, right eye"
,,R160,6140,"R160 - Hepatomegaly, not elsewhere classified"
,,E7849,6137,E7849 - Other hyperlipidemia
,,C3492,6109,C3492 - Malignant neoplasm of unspecified part o
,,D518,6106,D518 - Other vitamin B12 deficiency anemias
,,S199XXA,6094,"S199XXA - Unspecified injury of neck, initial enco"
,,M25662,6091,"M25662 - Stiffness of left knee, not elsewhere cl"
,,Z8719,6071,Z8719 - Personal history of other diseases of th
,,D693,6061,D693 - Immune thrombocytopenic purpura
,,H25811,6047,"H25811 - Combined forms of age-related cataract,"
,Y,R635,6041,R635 - Abnormal weight gain
,,J320,6037,J320 - Chronic maxillary sinusitis
,,T82898A,6035,T82898A - Other specified complication of vascular
,,K6389,6010,K6389 - Other specified diseases of intestine
,,H25812,5996,"H25812 - Combined forms of age-related cataract,"
,,G7000,5979,G7000 - Myasthenia gravis without (acute) exacer
,,C771,5978,C771 - Secondary and unspecified malignant neop
Y,Y,R042,5974,R042 - Hemoptysis
,,Z9884,5972,Z9884 - Bariatric surgery status
,,Z6830,5961,"Z6830 - Body mass index (BMI) 30.0-30.9, adult"
,,E1022,5956,E1022 - Type 1 diabetes mellitus with diabetic c
,,H26492,5954,"H26492 - Other secondary cataract, left eye"
,,I6782,5928,I6782 - Cerebral ischemia
,,F909,5918,F909 - Attention-deficit hyperactivity disorder
,,M0689,5914,"M0689 - Other specified rheumatoid arthritis, mu"
,,R799,5904,"R799 - Abnormal finding of blood chemistry, uns"
,,C44319,5903,C44319 - Basal cell carcinoma of skin of other pa
Y,Y,I5189,5885,I5189 - Other ill-defined heart diseases
,,F99,5884,"F99 - Mental disorder, not otherwise specified"
Y,Y,J208,5881,J208 - Acute bronchitis due to other specified
,,E8881,5872,E8881 - Metabolic syndrome
,,I6522,5843,I6522 - Occlusion and stenosis of left carotid a
,,H35373,5841,"H35373 - Puckering of macula, bilateral"
,,M4722,5840,"M4722 - Other spondylosis with radiculopathy, ce"
Y,Y,K5792,5838,"K5792 - Diverticulitis of intestine, part unspec"
,Y,J410,5837,J410 - Simple chronic bronchitis
,,K029,5833,"K029 - Dental caries, unspecified"
,Y,K859,5829,"K859 - Acute pancreatitis, unspecified"
,,M19041,5823,"M19041 - Primary osteoarthritis, right hand"
,,Z043,5800,Z043 - Encounter for examination and observatio
,,E11610,5799,E11610 - Type 2 diabetes mellitus with diabetic n
,,G608,5780,G608 - Other hereditary and idiopathic neuropat
,,G92,5780,G92 - Toxic encephalopathy
,,E1342,5778,E1342 - Other specified diabetes mellitus with d
,,S299XXA,5778,"S299XXA - Unspecified injury of thorax, initial en"
,,R740,5772,R740 - Nonspecific elevation of levels of trans
,,D125,5766,D125 - Benign neoplasm of sigmoid colon
,,Z7951,5762,Z7951 - Long term (current) use of inhaled stero
,,Z90710,5731,Z90710 - Acquired absence of both cervix and uter
,,M25521,5708,M25521 - Pain in right elbow
,,R220,5692,"R220 - Localized swelling, mass and lump, head"
,,Z9221,5688,Z9221 - Personal history of antineoplastic chemo
,,I878,5677,I878 - Other specified disorders of veins
,,L97821,5664,L97821 - Non-pressure chronic ulcer of other part
,,C7801,5658,C7801 - Secondary malignant neoplasm of right lu
,,F3130,5653,"F3130 - Bipolar disorder, current episode depres"
,,M4712,5640,"M4712 - Other spondylosis with myelopathy, cervi"
,,I771,5638,I771 - Stricture of artery
,,N950,5626,N950 - Postmenopausal bleeding
,,F1110,5624,"F1110 - Opioid abuse, uncomplicated"
,,Z171,5618,Z171 - Estrogen receptor negative status [ER-]
,,D899,5614,"D899 - Disorder involving the immune mechanism,"
,,T82858A,5611,T82858A - Stenosis of other vascular prosthetic de
,,Z923,5610,Z923 - Personal history of irradiation
,,I7300,5603,I7300 - Raynaud's syndrome without gangrene
,,T8131XA,5601,T8131XA - Disruption of external operation (surgic
,,S335XXA,5600,"S335XXA - Sprain of ligaments of lumbar spine, ini"
,,L602,5597,L602 - Onychogryphosis
Y,Y,R1010,5591,"R1010 - Upper abdominal pain, unspecified"
,Y,J4550,5586,"J4550 - Severe persistent asthma, uncomplicated"
,,I348,5583,I348 - Other nonrheumatic mitral valve disorder
,,N760,5579,N760 - Acute vaginitis
,,F312,5576,"F312 - Bipolar disorder, current episode manic"
,,Z21,5567,Z21 - Asymptomatic human immunodeficiency viru
,,J111,5558,J111 - Influenza due to unidentified influenza
,,I159,5557,"I159 - Secondary hypertension, unspecified"
,,I483,5551,I483 - Typical atrial flutter
,,G479,5547,"G479 - Sleep disorder, unspecified"
,,Z049,5534,Z049 - Encounter for examination and observatio
,,L97811,5530,L97811 - Non-pressure chronic ulcer of other part
,,E8779,5520,E8779 - Other fluid overload
,,T451X5A,5519,T451X5A - Adverse effect of antineoplastic and imm
,,Z681,5519,"Z681 - Body mass index (BMI) 19.9 or less, adul"
,,C9002,5518,C9002 - Multiple myeloma in relapse
,,L259,5515,"L259 - Unspecified contact dermatitis, unspecif"
,,G931,5504,"G931 - Anoxic brain damage, not elsewhere class"
,,N3289,5503,N3289 - Other specified disorders of bladder
,,R633,5498,R633 - Feeding difficulties
,,Z882,5490,Z882 - Allergy status to sulfonamides status
,,D126,5477,"D126 - Benign neoplasm of colon, unspecified"
,,R4189,5470,R4189 - Other symptoms and signs involving cogni
,,Z800,5464,Z800 - Family history of malignant neoplasm of
,,F42,5457,F42 - Obsessive-compulsive disorder
,,L851,5457,L851 - Acquired keratosis [keratoderma] palmari
,,K649,5450,K649 - Unspecified hemorrhoids
,,L720,5432,L720 - Epidermal cyst
