FROM ICD 9,From ICD10,dx,n,desc
Y,,M5430,2046,"M5430 - Sciatica, unspecified side"
,,C50811,2045,C50811 - Malignant neoplasm of overlapping sites 
,,Z95810,2045,Z95810 - Presence of automatic (implantable) card
,,C220,2042,C220 - Liver cell carcinoma
,,J0100,2040,"J0100 - Acute maxillary sinusitis, unspecified"
,,G43909,2039,"G43909 - Migraine, unspecified, not intractable, "
,,K861,2037,K861 - Other chronic pancreatitis
,,C221,2022,C221 - Intrahepatic bile duct carcinoma
,,E1129,2019,E1129 - Type 2 diabetes mellitus with other diab
,,M1389,2016,"M1389 - Other specified arthritis, multiple site"
,Y,R188,2016,R188 - Other ascites
,,I6529,2005,I6529 - Occlusion and stenosis of unspecified ca
Y,Y,I313,2001,I313 - Pericardial effusion (noninflammatory)
,,C9110,1996,C9110 - Chronic lymphocytic leukemia of B-cell t
,,M25572,1988,M25572 - Pain in left ankle and joints of left fo
,,R351,1988,R351 - Nocturia
,,M0579,1970,M0579 - Rheumatoid arthritis with rheumatoid fac
Y,,I472,1959,I472 - Ventricular tachycardia
Y,Y,R9389,1952,R9389 - Abnormal findings on diagnostic imaging 
,,M25569,1942,M25569 - Pain in unspecified knee
,,M19012,1940,"M19012 - Primary osteoarthritis, left shoulder"
,,C55,1933,"C55 - Malignant neoplasm of uterus, part unspe"
,,I69351,1928,I69351 - Hemiplegia and hemiparesis following cer
,,H40013,1927,"H40013 - Open angle with borderline findings, low"
,,J302,1924,J302 - Other seasonal allergic rhinitis
,,M1612,1921,"M1612 - Unilateral primary osteoarthritis, left "
,,G2581,1919,G2581 - Restless legs syndrome
,,H540,1906,"H540 - Blindness, both eyes"
,,L03115,1904,L03115 - Cellulitis of right lower limb
,,H43813,1899,"H43813 - Vitreous degeneration, bilateral"
,,K648,1894,K648 - Other hemorrhoids
,,M792,1891,"M792 - Neuralgia and neuritis, unspecified"
,,G9340,1888,"G9340 - Encephalopathy, unspecified"
Y,Y,J438,1877,J438 - Other emphysema
,,M4316,1871,"M4316 - Spondylolisthesis, lumbar region"
,,G3184,1869,"G3184 - Mild cognitive impairment, so stated"
Y,Y,R1031,1868,R1031 - Right lower quadrant pain
,,R200,1866,R200 - Anesthesia of skin
,,Z136,1866,Z136 - Encounter for screening for cardiovascul
,,F0281,1859,F0281 - Dementia in other diseases classified el
Y,Y,R1030,1859,"R1030 - Lower abdominal pain, unspecified"
,,Z124,1832,Z124 - Encounter for screening for malignant ne
,,C109,1824,"C109 - Malignant neoplasm of oropharynx, unspec"
,,N393,1824,N393 - Stress incontinence (female) (male)
,,I69354,1814,I69354 - Hemiplegia and hemiparesis following cer
,,F1420,1813,"F1420 - Cocaine dependence, uncomplicated"
,,H25813,1810,"H25813 - Combined forms of age-related cataract, "
Y,Y,R410,1806,"R410 - Disorientation, unspecified"
,,C250,1801,C250 - Malignant neoplasm of head of pancreas
,,G809,1801,"G809 - Cerebral palsy, unspecified"
,Y,I4892,1798,I4892 - Unspecified atrial flutter
,,C779,1794,C779 - Secondary and unspecified malignant neop
,,D469,1793,"D469 - Myelodysplastic syndrome, unspecified"
,,M5134,1792,"M5134 - Other intervertebral disc degeneration, "
Y,Y,I493,1790,I493 - Ventricular premature depolarization
,,E1065,1785,E1065 - Type 1 diabetes mellitus with hyperglyce
,,Z880,1783,Z880 - Allergy status to penicillin
Y,,M5431,1775,"M5431 - Sciatica, right side"
,,W19XXXA,1768,"W19XXXA - Unspecified fall, initial encounter"
,,E890,1765,E890 - Postprocedural hypothyroidism
,,F321,1763,"F321 - Major depressive disorder, single episod"
,,C8590,1734,"C8590 - Non-Hodgkin lymphoma, unspecified, unspe"
,,R293,1732,R293 - Abnormal posture
,,Z48812,1732,Z48812 - Encounter for surgical aftercare followi
,,D123,1726,D123 - Benign neoplasm of transverse colon
,,F39,1723,F39 - Unspecified mood [affective] disorder
,,F0391,1705,F0391 - Unspecified dementia with behavioral dis
Y,Y,J159,1705,J159 - Unspecified bacterial pneumonia
,,J3081,1701,J3081 - Allergic rhinitis due to animal (cat) (d
,,Z981,1696,Z981 - Arthrodesis status
Y,Y,J4540,1695,"J4540 - Moderate persistent asthma, uncomplicate"
,,I69398,1694,I69398 - Other sequelae of cerebral infarction
,,Z20822,1694,Z20822 - NA
,,T8189XA,1692,"T8189XA - Other complications of procedures, not e"
,,Z85048,1691,Z85048 - Personal history of other malignant neop
,Y,I481,1690,I481 - Persistent atrial fibrillation
,,K2270,1683,K2270 - Barrett's esophagus without dysplasia
,,N529,1682,"N529 - Male erectile dysfunction, unspecified"
,,B370,1680,B370 - Candidal stomatitis
,,R29898,1678,R29898 - Other symptoms and signs involving the m
,,F2089,1677,F2089 - Other schizophrenia
,,Z029,1676,Z029 - Encounter for administrative examination
,,Z800,1676,Z800 - Family history of malignant neoplasm of 
,,Z8551,1671,Z8551 - Personal history of malignant neoplasm o
,,R4584,1654,R4584 - Anhedonia
,,R7303,1652,R7303 - Prediabetes
,,C4922,1647,C4922 - Malignant neoplasm of connective and sof
Y,Y,I361,1647,I361 - Nonrheumatic tricuspid (valve) insuffici
Y,,M25519,1645,M25519 - Pain in unspecified shoulder
,,M79641,1642,M79641 - Pain in right hand
,,L989,1638,L989 - Disorder of the skin and subcutaneous ti
Y,,M4726,1635,"M4726 - Other spondylosis with radiculopathy, lu"
,,C180,1634,C180 - Malignant neoplasm of cecum
,Y,J9620,1629,"J9620 - Acute and chronic respiratory failure, u"
Y,Y,M5489,1625,M5489 - Other dorsalgia
Y,Y,R1110,1619,"R1110 - Vomiting, unspecified"
,,G5601,1612,"G5601 - Carpal tunnel syndrome, right upper limb"
,,F29,1611,F29 - Unspecified psychosis not due to a subst
,,I69959,1611,I69959 - Hemiplegia and hemiparesis following uns
,,J310,1607,J310 - Chronic rhinitis
,,N3941,1606,N3941 - Urge incontinence
,,H269,1601,H269 - Unspecified cataract
,,C50112,1600,C50112 - Malignant neoplasm of central portion of
,,Z85820,1600,Z85820 - Personal history of malignant melanoma o
,,F1410,1599,"F1410 - Cocaine abuse, uncomplicated"
,,E1159,1597,E1159 - Type 2 diabetes mellitus with other circ
Y,,M25559,1597,M25559 - Pain in unspecified hip
,,M533,1596,"M533 - Sacrococcygeal disorders, not elsewhere "
,,J811,1587,J811 - Chronic pulmonary edema
,,C50212,1586,C50212 - Malignant neoplasm of upper-inner quadra
,,M7541,1584,M7541 - Impingement syndrome of right shoulder
,,R9720,1584,R9720 - Elevated prostate specific antigen [PSA]
,,L578,1567,L578 - Other skin changes due to chronic exposu
Y,,K2950,1559,K2950 - Unspecified chronic gastritis without bl
,,D1801,1552,D1801 - Hemangioma of skin and subcutaneous tiss
,,Z4801,1552,Z4801 - Encounter for change or removal of surgi
,,C782,1538,C782 - Secondary malignant neoplasm of pleura
,,N319,1530,"N319 - Neuromuscular dysfunction of bladder, un"
Y,Y,R220,1529,"R220 - Localized swelling, mass and lump, head"
Y,Y,J918,1528,J918 - Pleural effusion in other conditions cla
,,D519,1524,"D519 - Vitamin B12 deficiency anemia, unspecifi"
,,Z681,1522,"Z681 - Body mass index (BMI) 19.9 or less, adul"
,,R5382,1521,"R5382 - Chronic fatigue, unspecified"
,,Z6841,1520,"Z6841 - Body mass index (BMI) 40.0-44.9, adult"
,,N182,1518,"N182 - Chronic kidney disease, stage 2 (mild)"
,,R7881,1517,R7881 - Bacteremia
,,H5203,1514,"H5203 - Hypermetropia, bilateral"
,,K222,1513,K222 - Esophageal obstruction
,,R972,1512,R972 - Elevated prostate specific antigen [PSA]
,,C160,1510,C160 - Malignant neoplasm of cardia
,,D122,1507,D122 - Benign neoplasm of ascending colon
Y,,M47896,1503,"M47896 - Other spondylosis, lumbar region"
,,K589,1499,K589 - Irritable bowel syndrome without diarrhe
,,Z96642,1499,Z96642 - Presence of left artificial hip joint
Y,,I25810,1498,I25810 - Atherosclerosis of coronary artery bypas
Y,,I70203,1498,I70203 - Unspecified atherosclerosis of native ar
,,D125,1494,D125 - Benign neoplasm of sigmoid colon
,,E079,1494,"E079 - Disorder of thyroid, unspecified"
,,Z940,1493,Z940 - Kidney transplant status
,,I351,1484,I351 - Nonrheumatic aortic (valve) insufficienc
,,I7389,1481,I7389 - Other specified peripheral vascular dise
,,F3132,1479,"F3132 - Bipolar disorder, current episode depres"
,,N3000,1468,N3000 - Acute cystitis without hematuria
,,E0590,1467,"E0590 - Thyrotoxicosis, unspecified without thyr"
,Y,E279,1463,"E279 - Disorder of adrenal gland, unspecified"
,,F17290,1459,"F17290 - Nicotine dependence, other tobacco produ"
,,G40309,1458,G40309 - Generalized idiopathic epilepsy and epil
,,Z743,1458,Z743 - Need for continuous supervision
,,I5023,1456,I5023 - Acute on chronic systolic (congestive) h
,,M25611,1455,"M25611 - Stiffness of right shoulder, not elsewhe"
,,L299,1448,"L299 - Pruritus, unspecified"
,,Z780,1447,Z780 - Asymptomatic menopausal state
,,Z96641,1447,Z96641 - Presence of right artificial hip joint
,,K5790,1446,"K5790 - Diverticulosis of intestine, part unspec"
,,Z85528,1444,Z85528 - Personal history of other malignant neop
,,F320,1441,"F320 - Major depressive disorder, single episod"
Y,,R011,1439,"R011 - Cardiac murmur, unspecified"
,,I4510,1436,I4510 - Unspecified right bundle-branch block
,,C169,1425,"C169 - Malignant neoplasm of stomach, unspecifi"
,,Z9114,1425,Z9114 - Patient's other noncompliance with medic
,,I420,1422,I420 - Dilated cardiomyopathy
,,Z7409,1417,Z7409 - Other reduced mobility
,,G620,1408,G620 - Drug-induced polyneuropathy
,,R040,1406,R040 - Epistaxis
,,E781,1400,E781 - Pure hyperglyceridemia
,,Z7189,1400,Z7189 - Other specified counseling
,,K3189,1391,K3189 - Other diseases of stomach and duodenum
Y,Y,J690,1390,J690 - Pneumonitis due to inhalation of food an
,,M160,1390,M160 - Bilateral primary osteoarthritis of hip
,,R252,1390,R252 - Cramp and spasm
,,M79609,1379,M79609 - Pain in unspecified limb
,,M25531,1373,M25531 - Pain in right wrist
,,C775,1372,C775 - Secondary and unspecified malignant neop
Y,Y,R1900,1372,"R1900 - Intra-abdominal and pelvic swelling, mas"
,,D472,1371,D472 - Monoclonal gammopathy
,,H9190,1370,"H9190 - Unspecified hearing loss, unspecified ea"
,,E1149,1369,E1149 - Type 2 diabetes mellitus with other diab
,,D751,1367,D751 - Secondary polycythemia
,,I712,1366,"I712 - Thoracic aortic aneurysm, without ruptur"
,,M48062,1366,"M48062 - Spinal stenosis, lumbar region with neur"
,,I69951,1365,I69951 - Hemiplegia and hemiparesis following uns
,,G250,1364,G250 - Essential tremor
,,D61818,1362,D61818 - Other pancytopenia
,,R278,1360,R278 - Other lack of coordination
,,C07,1359,C07 - Malignant neoplasm of parotid gland
,,Z122,1354,Z122 - Encounter for screening for malignant ne
,,M79642,1347,M79642 - Pain in left hand
,,Z7984,1346,Z7984 - Long term (current) use of oral hypoglyc
,,Z13220,1343,Z13220 - Encounter for screening for lipoid disor
,,Z0189,1334,Z0189 - Encounter for other specified special ex
,,I5042,1333,I5042 - Chronic combined systolic (congestive) a
,,L400,1332,L400 - Psoriasis vulgaris
,,K5909,1330,K5909 - Other constipation
,,Z4889,1329,Z4889 - Encounter for other specified surgical a
,,Z7902,1327,Z7902 - Long term (current) use of antithromboti
,,Z90710,1325,Z90710 - Acquired absence of both cervix and uter
,,C320,1324,C320 - Malignant neoplasm of glottis
,,G9389,1321,G9389 - Other specified disorders of brain
,,E6609,1315,E6609 - Other obesity due to excess calories
Y,,J410,1314,J410 - Simple chronic bronchitis
,,D6489,1313,D6489 - Other specified anemias
,,L905,1312,L905 - Scar conditions and fibrosis of skin
,,C4442,1309,C4442 - Squamous cell carcinoma of skin of scalp
,,I7300,1304,I7300 - Raynaud's syndrome without gangrene
,,M2041,1304,"M2041 - Other hammer toe(s) (acquired), right fo"
,,F1210,1301,"F1210 - Cannabis abuse, uncomplicated"
,,C186,1297,C186 - Malignant neoplasm of descending colon
,,R0981,1293,R0981 - Nasal congestion
,,I69954,1290,I69954 - Hemiplegia and hemiparesis following uns
,,K4090,1288,"K4090 - Unilateral inguinal hernia, without obst"
,,K6389,1288,K6389 - Other specified diseases of intestine
Y,Y,R630,1284,R630 - Anorexia
,Y,R945,1276,R945 - Abnormal results of liver function studi
,,F4312,1273,"F4312 - Post-traumatic stress disorder, chronic"
,,L853,1273,L853 - Xerosis cutis
,,N3946,1273,N3946 - Mixed incontinence
,,Z86711,1269,Z86711 - Personal history of pulmonary embolism
,Y,J431,1265,J431 - Panlobular emphysema
,,N951,1265,N951 - Menopausal and female climacteric states
,,C50111,1264,C50111 - Malignant neoplasm of central portion of
,,M4800,1264,"M4800 - Spinal stenosis, site unspecified"
Y,,M5432,1261,"M5432 - Sciatica, left side"
,,D126,1258,"D126 - Benign neoplasm of colon, unspecified"
,,R922,1252,R922 - Inconclusive mammogram
,,M5032,1250,"M5032 - Other cervical disc degeneration, mid-ce"
,,I951,1249,I951 - Orthostatic hypotension
,,M7061,1249,"M7061 - Trochanteric bursitis, right hip"
,,Z905,1248,Z905 - Acquired absence of kidney
,,C50511,1240,C50511 - Malignant neoplasm of lower-outer quadra
,,Z9861,1240,Z9861 - Coronary angioplasty status
Y,,I25118,1239,I25118 - Atherosclerotic heart disease of native 
,,F3130,1238,"F3130 - Bipolar disorder, current episode depres"
,,C210,1222,"C210 - Malignant neoplasm of anus, unspecified"
,,M2560,1222,"M2560 - Stiffness of unspecified joint, not else"
,,L720,1220,L720 - Epidermal cyst
,,H5213,1217,"H5213 - Myopia, bilateral"
,,K30,1217,K30 - Functional dyspepsia
,,C50211,1216,C50211 - Malignant neoplasm of upper-inner quadra
,,F4321,1212,F4321 - Adjustment disorder with depressed mood
,,G5602,1210,"G5602 - Carpal tunnel syndrome, left upper limb"
Y,,J45998,1208,J45998 - Other asthma
,,B353,1206,B353 - Tinea pedis
,,Z7951,1205,Z7951 - Long term (current) use of inhaled stero
,,J342,1202,J342 - Deviated nasal septum
,,Z139,1198,"Z139 - Encounter for screening, unspecified"
,,F328,1194,F328 - Other depressive episodes
,,M169,1192,"M169 - Osteoarthritis of hip, unspecified"
,,E878,1191,E878 - Other disorders of electrolyte and fluid
,,K5190,1190,"K5190 - Ulcerative colitis, unspecified, without"
,,I5020,1189,I5020 - Unspecified systolic (congestive) heart 
,,F201,1187,F201 - Disorganized schizophrenia
,,G8250,1187,"G8250 - Quadriplegia, unspecified"
,,Z789,1185,Z789 - Other specified health status
,,C719,1183,"C719 - Malignant neoplasm of brain, unspecified"
,,M7542,1183,M7542 - Impingement syndrome of left shoulder
,,G8220,1182,"G8220 - Paraplegia, unspecified"
Y,,I25110,1181,I25110 - Atherosclerotic heart disease of native 
,,I5040,1180,I5040 - Unspecified combined systolic (congestiv
,,M25532,1180,M25532 - Pain in left wrist
,,Z6826,1177,"Z6826 - Body mass index (BMI) 26.0-26.9, adult"
,,C7A1,1174,C7A1 - Malignant poorly differentiated neuroend
Y,Y,J320,1171,J320 - Chronic maxillary sinusitis
,,I5021,1165,I5021 - Acute systolic (congestive) heart failur
,,F5101,1164,F5101 - Primary insomnia
,,C50512,1163,C50512 - Malignant neoplasm of lower-outer quadra
,,Z6825,1160,"Z6825 - Body mass index (BMI) 25.0-25.9, adult"
,,D473,1155,D473 - Essential (hemorrhagic) thrombocythemia
,,L0390,1155,"L0390 - Cellulitis, unspecified"
,,D510,1154,D510 - Vitamin B12 deficiency anemia due to int
,,R1311,1154,"R1311 - Dysphagia, oral phase"
Y,Y,R933,1152,R933 - Abnormal findings on diagnostic imaging 
,,Z8249,1152,Z8249 - Family history of ischemic heart disease
,,F72,1151,F72 - Severe intellectual disabilities
,,N3281,1151,N3281 - Overactive bladder
,,C4021,1149,C4021 - Malignant neoplasm of long bones of righ
,,D259,1149,"D259 - Leiomyoma of uterus, unspecified"
,,H4011X1,1148,H4011X1 - NA
,,F4322,1147,F4322 - Adjustment disorder with anxiety
,,M79601,1145,M79601 - Pain in right arm
Y,,D492,1143,D492 - Neoplasm of unspecified behavior of bone
,,C4921,1139,C4921 - Malignant neoplasm of connective and sof
,,G9009,1132,G9009 - Other idiopathic peripheral autonomic ne
,,N950,1132,N950 - Postmenopausal bleeding
,,R312,1131,R312 - Other microscopic hematuria
,Y,G9341,1127,G9341 - Metabolic encephalopathy
Y,Y,R1012,1127,R1012 - Left upper quadrant pain
,,C8580,1125,C8580 - Other specified types of non-Hodgkin lym
,,C44319,1123,C44319 - Basal cell carcinoma of skin of other pa
,,Z6827,1122,"Z6827 - Body mass index (BMI) 27.0-27.9, adult"
,,C7A8,1121,C7A8 - Other malignant neuroendocrine tumors
,,M79602,1121,M79602 - Pain in left arm
,Y,E440,1120,E440 - Moderate protein-calorie malnutrition
,,M25612,1120,"M25612 - Stiffness of left shoulder, not elsewher"
,Y,J9622,1119,J9622 - Acute and chronic respiratory failure wi
,,L089,1119,L089 - Local infection of the skin and subcutan
,,Z888,1119,"Z888 - Allergy status to other drugs, medicamen"
,,M75121,1118,M75121 - Complete rotator cuff tear or rupture of
,,J3489,1115,J3489 - Other specified disorders of nose and na
,,H4011X2,1111,H4011X2 - NA
,,M5127,1111,"M5127 - Other intervertebral disc displacement, "
,,B9689,1109,B9689 - Other specified bacterial agents as the 
,,D491,1108,D491 - Neoplasm of unspecified behavior of resp
,Y,E8770,1107,"E8770 - Fluid overload, unspecified"
,,A047,1103,A047 - Enterocolitis due to Clostridium diffici
,,C069,1103,"C069 - Malignant neoplasm of mouth, unspecified"
,,M79662,1103,M79662 - Pain in left lower leg
,,Z713,1103,Z713 - Dietary counseling and surveillance
Y,Y,I2720,1100,"I2720 - Pulmonary hypertension, unspecified"
,,M9905,1098,M9905 - Segmental and somatic dysfunction of pel
,,R195,1094,R195 - Other fecal abnormalities
,,I5043,1093,I5043 - Acute on chronic combined systolic (cong
,Y,G939,1092,"G939 - Disorder of brain, unspecified"
,,L603,1092,L603 - Nail dystrophy
,,I428,1084,I428 - Other cardiomyopathies
Y,,M5440,1084,"M5440 - Lumbago with sciatica, unspecified side"
,,K5660,1083,K5660 - Unspecified intestinal obstruction
,,C778,1081,C778 - Secondary and unspecified malignant neop
,,F1021,1080,"F1021 - Alcohol dependence, in remission"
,,Z7952,1079,Z7952 - Long term (current) use of systemic ster
,,E049,1078,"E049 - Nontoxic goiter, unspecified"
Y,Y,J9602,1077,J9602 - Acute respiratory failure with hypercapn
,,K3184,1073,K3184 - Gastroparesis
,,K6289,1073,K6289 - Other specified diseases of anus and rec
,,I6521,1070,I6521 - Occlusion and stenosis of right carotid 
,,K209,1070,"K209 - Esophagitis, unspecified"
Y,,K5732,1068,K5732 - Diverticulitis of large intestine withou
,,E611,1067,E611 - Iron deficiency
,,Z131,1067,Z131 - Encounter for screening for diabetes mel
,,B029,1064,B029 - Zoster without complications
,,H538,1062,H538 - Other visual disturbances
,,K439,1061,K439 - Ventral hernia without obstruction or ga
,,K7030,1061,K7030 - Alcoholic cirrhosis of liver without asc
,,Z6828,1060,"Z6828 - Body mass index (BMI) 28.0-28.9, adult"
,,M4807,1058,"M4807 - Spinal stenosis, lumbosacral region"
,,Z885,1057,Z885 - Allergy status to narcotic agent status
,,M25461,1044,"M25461 - Effusion, right knee"
,,H26493,1042,"H26493 - Other secondary cataract, bilateral"
,,J84112,1041,J84112 - Idiopathic pulmonary fibrosis
,,R809,1037,"R809 - Proteinuria, unspecified"
,,I6522,1036,I6522 - Occlusion and stenosis of left carotid a
,,D6959,1033,D6959 - Other secondary thrombocytopenia
,,R260,1032,R260 - Ataxic gait
,,Z6830,1032,"Z6830 - Body mass index (BMI) 30.0-30.9, adult"
,Y,I447,1030,"I447 - Left bundle-branch block, unspecified"
Y,Y,R935,1030,R935 - Abnormal findings on diagnostic imaging 
,,M79661,1029,M79661 - Pain in right lower leg
,,E139,1028,E139 - Other specified diabetes mellitus withou
Y,Y,J188,1027,"J188 - Other pneumonia, unspecified organism"
,,F3341,1026,"F3341 - Major depressive disorder, recurrent, in"
,,Z515,1026,Z515 - Encounter for palliative care
,,M7062,1025,"M7062 - Trochanteric bursitis, left hip"
,,F322,1019,"F322 - Major depressive disorder, single episod"
,,R791,1018,R791 - Abnormal coagulation profile
,,K429,1015,K429 - Umbilical hernia without obstruction or 
,,E032,1014,E032 - Hypothyroidism due to medicaments and ot
,,C678,1012,C678 - Malignant neoplasm of overlapping sites 
,Y,G319,1011,"G319 - Degenerative disease of nervous system, "
,,H5410,1009,"H5410 - Blindness, one eye, low vision other eye"
,,I972,1008,I972 - Postmastectomy lymphedema syndrome
,Y,E278,1007,E278 - Other specified disorders of adrenal gla
Y,Y,I498,1007,I498 - Other specified cardiac arrhythmias
,,Z418,1007,Z418 - Encounter for other procedures for purpo
,,N3289,1006,N3289 - Other specified disorders of bladder
Y,,I208,1004,I208 - Other forms of angina pectoris
,,Z01811,1003,Z01811 - Encounter for preprocedural respiratory 
,,L723,1002,L723 - Sebaceous cyst
,,M79606,1000,"M79606 - Pain in leg, unspecified"
,,F73,999,F73 - Profound intellectual disabilities
,,I749,998,I749 - Embolism and thrombosis of unspecified a
,,M329,997,"M329 - Systemic lupus erythematosus, unspecifie"
,,N952,992,N952 - Postmenopausal atrophic vaginitis
,,M25462,990,"M25462 - Effusion, left knee"
,,C153,988,C153 - Malignant neoplasm of upper third of eso
,,E089,988,E089 - Diabetes mellitus due to underlying cond
,,M869,988,"M869 - Osteomyelitis, unspecified"
,,N185,988,"N185 - Chronic kidney disease, stage 5"
,,Z6829,988,"Z6829 - Body mass index (BMI) 29.0-29.9, adult"
,,M519,987,"M519 - Unspecified thoracic, thoracolumbar and "
Y,,M5020,986,"M5020 - Other cervical disc displacement, unspec"
,,E8351,982,E8351 - Hypocalcemia
,,Z1239,982,Z1239 - Encounter for other screening for malign
,,Z6824,980,"Z6824 - Body mass index (BMI) 24.0-24.9, adult"
,,M5117,977,M5117 - Intervertebral disc disorders with radic
,,C4492,974,"C4492 - Squamous cell carcinoma of skin, unspeci"
,,I69359,973,I69359 - Hemiplegia and hemiparesis following cer
,,C434,972,C434 - Malignant melanoma of scalp and neck
,,D61810,972,D61810 - Antineoplastic chemotherapy induced panc
,,I6930,972,I6930 - Unspecified sequelae of cerebral infarct
,,R0982,970,R0982 - Postnasal drip
,,H905,967,H905 - Unspecified sensorineural hearing loss
Y,,M47814,967,M47814 - Spondylosis without myelopathy or radicu
,,I679,965,"I679 - Cerebrovascular disease, unspecified"
,,R3915,964,R3915 - Urgency of urination
Y,,J4530,963,"J4530 - Mild persistent asthma, uncomplicated"
,,R251,963,"R251 - Tremor, unspecified"
,,M75101,960,M75101 - Unspecified rotator cuff tear or rupture
,,N312,960,"N312 - Flaccid neuropathic bladder, not elsewhe"
,,D229,959,"D229 - Melanocytic nevi, unspecified"
,,Z466,959,Z466 - Encounter for fitting and adjustment of 
,,Z716,959,Z716 - Tobacco abuse counseling
,,Z48813,957,Z48813 - Encounter for surgical aftercare followi
,,C228,955,"C228 - Malignant neoplasm of liver, primary, un"
,,I671,954,"I671 - Cerebral aneurysm, nonruptured"
,,D124,947,D124 - Benign neoplasm of descending colon
,,Z6831,946,"Z6831 - Body mass index (BMI) 31.0-31.9, adult"
,,Z13820,944,Z13820 - Encounter for screening for osteoporosis
,,C37,942,C37 - Malignant neoplasm of thymus
Y,Y,J208,942,J208 - Acute bronchitis due to other specified 
,,N201,940,N201 - Calculus of ureter
,,H52223,939,"H52223 - Regular astigmatism, bilateral"
,,H3530,938,H3530 - Unspecified macular degeneration
,,N644,937,N644 - Mastodynia
,,F22,935,F22 - Delusional disorders
,,F1220,933,"F1220 - Cannabis dependence, uncomplicated"
,,C8330,932,"C8330 - Diffuse large B-cell lymphoma, unspecifi"
,,M609,932,"M609 - Myositis, unspecified"
,,L280,931,L280 - Lichen simplex chronicus
,,M6282,931,M6282 - Rhabdomyolysis
,,R338,931,R338 - Other retention of urine
,,S39012A,931,"S39012A - Strain of muscle, fascia and tendon of l"
,,Z931,928,Z931 - Gastrostomy status
,,R9439,927,R9439 - Abnormal result of other cardiovascular 
,,D72819,926,"D72819 - Decreased white blood cell count, unspec"
Y,Y,R942,926,R942 - Abnormal results of pulmonary function s
,,H40003,925,"H40003 - Preglaucoma, unspecified, bilateral"
,,B1710,924,B1710 - Acute hepatitis C without hepatic coma
,,M353,923,M353 - Polymyalgia rheumatica
,,Z21,923,Z21 - Asymptomatic human immunodeficiency viru
,,Z431,922,Z431 - Encounter for attention to gastrostomy
,,Z8521,922,Z8521 - Personal history of malignant neoplasm o
,,Z8679,920,Z8679 - Personal history of other diseases of th
,,G4710,919,"G4710 - Hypersomnia, unspecified"
Y,,M4722,919,"M4722 - Other spondylosis with radiculopathy, ce"
,,Z932,919,Z932 - Ileostomy status
,,K621,918,K621 - Rectal polyp
Y,Y,I491,912,I491 - Atrial premature depolarization
,,M19071,912,"M19071 - Primary osteoarthritis, right ankle and "
Y,,I270,911,I270 - Primary pulmonary hypertension
Y,Y,I440,911,"I440 - Atrioventricular block, first degree"
,,L598,910,L598 - Other specified disorders of the skin an
,,Z8719,910,Z8719 - Personal history of other diseases of th
,,D630,908,D630 - Anemia in neoplastic disease
Y,,I2582,907,I2582 - Chronic total occlusion of coronary arte
,,C184,906,C184 - Malignant neoplasm of transverse colon
,,C4022,904,C4022 - Malignant neoplasm of long bones of left
,,F10129,900,"F10129 - Alcohol abuse with intoxication, unspeci"
,,K5792,900,"K5792 - Diverticulitis of intestine, part unspec"
,,M531,900,M531 - Cervicobrachial syndrome
,,I213,899,I213 - ST elevation (STEMI) myocardial infarcti
,,T148,899,T148 - Other injury of unspecified body region
,,Z9012,898,Z9012 - Acquired absence of left breast and nipp
,,I5031,895,I5031 - Acute diastolic (congestive) heart failu
,,M19041,889,"M19041 - Primary osteoarthritis, right hand"
,,R921,889,R921 - Mammographic calcification found on diag
,,L409,888,"L409 - Psoriasis, unspecified"
,,M75122,886,M75122 - Complete rotator cuff tear or rupture of
,,Z8619,886,Z8619 - Personal history of other infectious and
,,I69898,884,I69898 - Other sequelae of other cerebrovascular 
,,C561,883,C561 - Malignant neoplasm of right ovary
,,D235,880,D235 - Other benign neoplasm of skin of trunk
,,M419,879,"M419 - Scoliosis, unspecified"
,,C44529,878,C44529 - Squamous cell carcinoma of skin of other
,,C44329,876,C44329 - Squamous cell carcinoma of skin of other
,,Z944,874,Z944 - Liver transplant status
,,H25811,872,"H25811 - Combined forms of age-related cataract, "
,,M1380,871,"M1380 - Other specified arthritis, unspecified s"
,,M2042,871,"M2042 - Other hammer toe(s) (acquired), left foo"
Y,,D490,869,D490 - Neoplasm of unspecified behavior of dige
,,N6489,868,N6489 - Other specified disorders of breast
,,G4089,865,G4089 - Other seizures
,,D120,864,D120 - Benign neoplasm of cecum
,,M6250,864,"M6250 - Muscle wasting and atrophy, not elsewher"
,,M059,863,M059 - Rheumatoid arthritis with rheumatoid fac
,,C4359,861,C4359 - Malignant melanoma of other part of trun
,,C774,860,C774 - Secondary and unspecified malignant neop
,,D869,857,"D869 - Sarcoidosis, unspecified"
,,E162,857,"E162 - Hypoglycemia, unspecified"
,,K5090,857,"K5090 - Crohn's disease, unspecified, without co"
,,Z9013,857,Z9013 - Acquired absence of bilateral breasts an
,,Z936,857,Z936 - Other artificial openings of urinary tra
,,H25812,856,"H25812 - Combined forms of age-related cataract, "
,,C251,855,C251 - Malignant neoplasm of body of pancreas
,,T814XXA,853,T814XXA - NA
,,M25662,851,"M25662 - Stiffness of left knee, not elsewhere cl"
,,I442,849,"I442 - Atrioventricular block, complete"
Y,,K2900,849,K2900 - Acute gastritis without bleeding
,,C139,847,"C139 - Malignant neoplasm of hypopharynx, unspe"
Y,,S134XXA,844,"S134XXA - Sprain of ligaments of cervical spine, i"
